oblast_name,TVO_2010.tvo,TVO_2010.includes,TVO_2012.tvo,TVO_2012.includes,details_same_int,indices,similar
Автономна Республіка Крим,1,"Центральний, Залізничний райони в місті Сімферополі",1,"Залізничний район міста Сімферополя з населеними пунктами Залізничної районної в місті Сімферополі ради, Центральний район міста Сімферополя",TRUE,"1,1",
Автономна Республіка Крим,2,Київський район у місті Сімферополі,2,"Київський район міста Сімферополя з населеними пунктами Київської районної в місті Сімферополі ради, частина Сімферопольського району (виборчі дільниці № 010583 – 010595, 010601 – 010603, 010631 –010637, 010647, 010648)",FALSE,,
Автономна Республіка Крим,3,"місто Джанкой, Джанкойський, Красногвардійський райони",3,"місто Джанкой, Джанкойський, Красногвардійський райони",TRUE,"3,3",
Автономна Республіка Крим,4,"міста Євпаторія, Саки, Сакський район",4,"міста Євпаторія з населеними пунктами Євпаторійської міської ради, Саки, Сакський район",TRUE,"4,4",
Автономна Республіка Крим,5,"місто Керч, Ленінський район",5,"місто Керч, частина Ленінського району (виборчі дільниці № 010346 – 010356, 010358, 010360 – 010363, 010365, 010366, 010370 –010374, 010379 – 010385)",FALSE,,
Автономна Республіка Крим,6,"міста Феодосія, Судак, Кіровський район",6,"місто Феодосія з населеними пунктами Феодосійської міської ради, Кіровський район, частина Ленінського району (виборчі дільниці № 010343 – 010345, 010357, 010359, 010364, 010367 – 010369, 010375 –010378, 010386 – 010394)",FALSE,,
Автономна Республіка Крим,7,"міста Ялта, Алушта",7,"міста Алушта, Ялта з населеними пунктами Алуштинської та Ялтинської міських рад",TRUE,"7,7",
Автономна Республіка Крим,8,"Білогірський, Нижньогірський, Совєтський райони",8,"місто Судак з населеними пунктами Судацької міської ради, Білогірський, Нижньогірський, Совєтський райони, частина Сімферопольського району (виборчі дільниці № 010608, 010609, 010612 – 010614)",FALSE,,
Автономна Республіка Крим,9,"міста Красноперекопськ, Армянськ, Красноперекопський, Первомайський, Роздольненський, Чорноморський райони",9,"міста Армянськ з населеними пунктами Армянської міської ради, Красноперекопськ, Красноперекопський, Первомайський, Роздольненський, Чорноморський райони",TRUE,"9,9",
Автономна Республіка Крим,10,"Сімферопольський, Бахчисарайський райони",10,"Бахчисарайський район, частина Сімферопольського району (виборчі дільниці № 010564 – 010582, 010596 – 010600, 010604 – 010607, 010610, 010611, 010615 – 010630, 010638 – 010646)",FALSE,,
Вінницька область,11,"Ленінський, Староміський райони в місті Вінниці",11,"частина міста Вінниці (виборчі дільниці № 051477 – 051547, 051575 – 051586), частина Вінницького району (виборчі дільниці № 050130 –050137, 050145, 050149, 050154 – 050156, 050161, 050162, 050164 – 050167, 050185 – 050192)",FALSE,,
Вінницька область,12,"Замостянський район у місті Вінниці, Вінницький район",12,"частина міста Вінниці (виборчі дільниці № 051435 – 051476, 051548 –051574, 051587 – 051590), частина Вінницького району (виборчі дільниці № 050125 – 050129, 050138 – 050144, 050146 – 050148, 050150 –050153, 050157 – 050160, 050163, 050168 – 050184)",FALSE,,maybe
Вінницька область,13,"міста Козятин, Хмільник, Калинівський, Козятинський, Хмільницький райони",13,"міста Козятин, Хмільник, Калинівський, Козятинський, Хмільницький райони",TRUE,"13,13",
Вінницька область,14,"місто Жмеринка, Барський, Жмеринський, Літинський, Мурованокуриловецький райони",14,"місто Жмеринка, Барський, Жмеринський, Літинський, Тиврівський райони",FALSE,,"maybe, one district different"
Вінницька область,15,"Гайсинський, Іллінецький, Липовецький, Оратівський, Погребищенський райони",15,"Мурованокуриловецький, Томашпільський, Тульчинський, Чернівецький, Шаргородський райони",FALSE,,
Вінницька область,16,"Немирівський, Тиврівський, Тульчинський, Шаргородський райони",18,"Іллінецький, Липовецький, Немирівський, Оратівський, Погребищенський райони",FALSE,,
Вінницька область,17,"місто Ладижин, Бершадський, Піщанський, Теплицький, Тростянецький, Чечельницький райони",17,"місто Ладижин, Бершадський, Гайсинський, Теплицький, Тростянецький райони",FALSE,"17,17","yes, - піщанський, чечельницький, + гайсинський"
Вінницька область,18,"місто Могилів-Подільський, Крижопільський, Могилів-Подільський, Томашпільський, Чернівецький, Ямпільський райони",16,"місто Могилів-Подільський, Крижопільський, Могилів-Подільський, Піщанський, Чечельницький, Ямпільський райони",FALSE,,
Волинська область,19,"міста Володимир-Волинський, Нововолинськ, Володимир-Волинський, Іваничівський, Любомльський райони",19,"міста Володимир-Волинський, Нововолинськ, Володимир-Волинський, Іваничівський, Любомльський райони",TRUE,"19,19",
Волинська область,20,"Горохівський, Локачинський, Луцький, Рожищенський, Турійський райони",20,"Горохівський, Локачинський, Луцький, Рожищенський, Турійський райони",TRUE,"20,2",
Волинська область,21,"місто Ковель, Ковельський, Ратнівський, Старовижівський, Шацький райони",21,"місто Ковель, Ковельський, Ратнівський, Старовижівський, Шацький райони",TRUE,"21,21",
Волинська область,22,місто Луцьк,22,місто Луцьк,TRUE,"22,22",
Волинська область,23,"Камінь-Каширський, Ківерцівський, Любешівський, Маневицький райони",23,"Камінь-Каширський, Ківерцівський, Любешівський, Маневицький райони",TRUE,"23,23",
Дніпропетровська область,24,Амур-Нижньодніпровський район у місті Дніпропетровську,24,"Індустріальний район, частина Самарського району міста Дніпропетровська виборчі дільниці № 121444 – 121463, 121467 – 121479, 121481)",FALSE,"24,25","yes, + красногвардійьский"
Дніпропетровська область,25,"Індустріальний, Самарський райони в місті Дніпропетровську",25,"частина Амур-Нижньодніпровського району (виборчі дільниці № 121063, 121064, 121071 – 121077, 121084, 121087 – 121103), Красногвардійський район міста Дніпропетровська",FALSE,"25,24","yes, - частина самарського"
Дніпропетровська область,26,Жовтневий район у місті Дніпропетровську,26,"Бабушкінський район, частина Кіровського району міста Дніпропетровська (виборчі дільниці № 121286 – 121298, 121310 – 121315), смт Авіаторське Дніпропетровської міської ради",FALSE,"26,27","yes, + частина кіровського і самарського"
Дніпропетровська область,27,"Бабушкінський район у місті Дніпропетровську, смт Авіаторське Дніпропетровської міської ради",27,"Жовтневий район, частина Кіровського (виборчі дільниці № 121299 – 121309, 121316, 121317), частина Самарського (виборчі дільниці № 121464 – 121466, 121480) районів міста Дніпропетровська",FALSE,"27,26","yes, + частина кіровьского "
Дніпропетровська область,28,"Красногвардійський, Кіровський райони в місті Дніпропетровську",28,"Ленінський район міста Дніпропетровська, частина Амур-Нижньодніпровського району (виборчі дільниці № 121059 – 121062)",FALSE,"28,25","yes, - кіровський which is split between 26 and 27"
Дніпропетровська область,29,Ленінський район у місті Дніпропетровську,29,"частина Амур-Нижньодніпровського району міста Дніпропетровська (виборчі дільниці № 121046 – 121058, 121065 – 121070, 121078 – 121083, 121085, 121086, 121104), Дніпропетровський, Петриківський райони",TRUE,"29,28","yes, + частина Амур-Нижньодніпровського"
Дніпропетровська область,30,"місто Дніпродзержинськ, смт Карнаухівка, селище Світле Баглійської районної в місті Дніпродзержинську ради",30,"Баглійський, Дніпровський райони, частина Заводського району міста Дніпродзержинська (виборчі дільниці № 121012 – 121021, 121028, 121030, 121036 – 121038, 121040 – 121043)",FALSE,,check
Дніпропетровська область,31,"Жовтневий, Тернівський райони в місті Кривому Розі, селища Гірницьке, Коломійцеве, села Новоіванівка і Тернуватий Кут Криворізької міської ради",31,"Жовтневий район, частина Тернівського району міста Кривого Рогу (виборчі дільниці № 121694 – 121728, 121730 – 121733), селища Гірницьке, Коломійцеве, села Новоіванівка, Тернуватий Кут Криворізької міської ради",FALSE,"31,31","yes, - частина Тернівського району"
Дніпропетровська область,32,"Саксаганський, Довгинцівський райони міста Кривого Рогу",32,"Довгинцівський район, частина Саксаганського району міста Кривого Рогу (виборчі дільниці № 121638 – 121683, 121690 – 121693)",FALSE,"32,32","yes, - частина Саксаганського району"
Дніпропетровська область,33,"Дзержинський, Інгулецький, Центрально-Міський райони в місті Кривому Розі, селище Авангард Криворізької міської ради",33,"Дзержинський район, частина Інгулецького (виборчі дільниці № 121611 – 121619, 121636), частина Саксаганського (виборчі дільниці № 121684 – 121689) районів, Центрально-Міський район міста Кривого Рогу, селище Авангард Криворізької міської ради",FALSE,"33,33","yes, - частина інгулецького району + частина саксаганського району"
Дніпропетровська область,34,"Верхньодніпровський, П'ятихатський райони, міста Вільногірськ, Жовті Води, село Суха Балка Жовтоводської міської ради",34,"міста Вільногірськ, Жовті Води, Верхньодніпровський, П’ятихатський, Царичанський райони",FALSE,"34,34","yes, + село Суха Балка I think it is part of zhovti vody)"
Дніпропетровська область,35,"Нікопольський район, міста Марганець, Нікополь, смт Мар'ївка, селище Максимівка Марганецької міської ради",35,"міста Нікополь, Орджонікідзе, Нікопольський район",FALSE,"35,35","yes, - місто Марганець і селище Максимівка Марганецької міської ради + Орджонікідзе (покров)"
Дніпропетровська область,36,"Павлоградський, Петропавлівський, Юр'ївський райони, міста Павлоград, Першотравенськ, Тернівка, село Зелена Долина Тернівської міської ради",36,"міста Павлоград, Першотравенськ, Тернівка, Павлоградський район",FALSE,"36,36","yes, - Петропавлівський і Юр'ївський"
Дніпропетровська область,37,"Апостолівський, Криворізький, Софіївський, Широківський райони, місто Орджонікідзе, селища міського типу Гірницьке, Чортомлик Орджонікідзевської міської ради",37,"частина Інгулецького (виборчі дільниці № 121620 – 121635, 121637), частина Тернівського (виборча дільниця № 121729) районів міста Кривого Рогу, Апостолівський, Криворізький, Софіївський, Широківський райони",FALSE,"37,37","yes, - Орджонікідзе + частина Інгулецького + частина Тернівського "
Дніпропетровська область,38,"місто Новомосковськ, Магдалинівский, Новомосковський, Петриківський, Царичанський райони",38,"місто Новомосковськ, Магдалинівський, Новомосковський, Юр’ївський райони",FALSE,"38,38","yes, - Петриківський і Царичанський райони + Юр’ївський"
Дніпропетровська область,39,"місто Синельникове, Васильківський, Межівський, Покровський, Синельниківський райони",39,"місто Синельникове, Васильківський, Межівський, Петропавлівський, Покровський, Синельниківський райони",FALSE,"39,39","yes, + Петропавлівський"
Дніпропетровська область,40,"Дніпропетровський, Криничанський, Солонянський, Томаківський райони",40,"місто Марганець, частина Заводського району міста Дніпродзержинська (виборчі дільниці № 121022 – 121027, 121029, 121031 –121035, 121039, 121044, 121045), Криничанський, Солонянський, Томаківський райони",FALSE,"40,4","yes, - Дніпропетровський район і місто Марганець і частина Заводського району"
Донецька область,41,"Будьоннівський, Пролетарський райони в місті Донецьку",41,"Будьонівський, Пролетарський райони міста Донецька",TRUE,"41,41",
Донецька область,42,"Ворошиловський, Калінінський райони в місті Донецьку",42,"Ворошиловський, Калінінський райони, частина Куйбишевського району міста Донецька (виборчі дільниці № 141833, 141836 – 141842)",FALSE,"42,42","yes, + частина Куйбишевського"
Донецька область,43,"Куйбишевський, Ленінський райони в місті Донецьку",43,"Ленінський район, частина Кіровського (виборчі дільниці № 141805 – 141811), частина Куйбишевського (виборчі дільниці № 141827 –141832, 141834, 141835, 141843 – 141871, 141873, 141874) районів міста Донецька",FALSE,,
Донецька область,44,"Кіровський, Петровський райони в місті Донецьку",44,"Петровський район, частина Кіровського району міста Донецька (виборчі дільниці № 141763 – 141804, 141812 – 141826)",FALSE,,
Донецька область,45,"Ясинуватський район, Київський район у місті Донецьку, міста Авдіївка, Ясинувата",45,"міста Авдіївка, Ясинувата, Київський район міста Донецька, Ясинуватський район",TRUE,,
Донецька область,46,"міста Артемівськ, Красний Лиман, Артемівський, Краснолиманський райони",46,"міста Артемівськ, Красний Лиман, Артемівський район",TRUE,,
Донецька область,47,"Слов'янський, Олександрівський райони, місто Слов'янськ",47,"місто Слов’янськ, Олександрівський, Слов’янський райони",TRUE,,
Донецька область,48,місто Краматорськ,48,місто Краматорськ,TRUE,,
Донецька область,49,"Добропільський район, міста Димитров, Добропілля, Дружківка",50,"міста Димитров, Добропілля, Красноармійськ, Добропільський район",,,
Донецька область,50,"Костянтинівський, Красноармійський райони, міста Костянтинівка, Красноармійськ",49,"міста Дружківка, Костянтинівка, Костянтинівський, Красноармійський райони",TRUE,,
Донецька область,51,"Микитівський, Центрально-Міський райони в місті Горлівці",51,"Микитівський, Центрально-Міський райони міста Горлівки",TRUE,,
Донецька область,52,"Калінінський район у місті Горлівці, міста Дебальцеве, Дзержинськ",52,"міста Дебальцеве, Дзержинськ, Калінінський район міста Горлівки",TRUE,,
Донецька область,53,"міста Єнакієве, Жданівка, Кіровське",53,"міста Єнакієве, Торез",FALSE,,
Донецька область,54,"Шахтарський район, міста Сніжне, Торез",53,"міста Єнакієве, Торез",FALSE,,
Донецька область,55,"міста Харцизьк, Шахтарськ",54,"міста Харцизьк, Шахтарськ, Шахтарський район",TRUE,,
Донецька область,56,"Гірницький, Совєтський райони в місті Макіївці",55,"міста Жданівка, Кіровське, Гірницький, Совєтський райони міста Макіївки",FALSE,,
Донецька область,57,"Кіровський, Центрально-Міський, Червоногвардійський райони в місті Макіївці",56,"Кіровський, Червоногвардійський, Центрально-Міський райони міста Макіївки",FALSE,,
Донецька область,58,"Іллічівський, Орджонікідзевський райони в місті Маріуполі",57,"Іллічівський, Орджонікідзевський райони міста Маріуполя",TRUE,,
Донецька область,59,"Жовтневий, Приморський райони в місті Маріуполі",58,"Жовтневий, Приморський райони міста Маріуполя",TRUE,,
Донецька область,60,"Великоновосілківський, Мар'їнський райони, міста Новогродівка, Селидове",59,"міста Вугледар, Новогродівка, Селидове, Великоновосілківський, Мар’їнський райони",TRUE,,
Донецька область,61,"Волноваський, Володарський, Першотравневий райони, міста Вугледар, Докучаєвськ",61,"міста Докучаєвськ, Сніжне, Амвросіївський, Старобешівський райони",TRUE,,
Донецька область,62,"Амвросіївський, Новоазовський, Старобешівський, Тельманівський райони",60,"Волноваський, Володарський, Новоазовський, Першотравневий, Тельманівський райони",FALSE,,
Житомирська область,63,"Богунський, Корольовський райони в місті Житомирі",62,"частина Богунського району (виборчі дільниці № 181338 –181372, 181382 – 181386, 181388, 181389, 181399 – 181403), Корольовський район міста Житомира",FALSE,,
Житомирська область,64,"Бердичівський, Любарський, Романівський, Чуднівський райони, місто Бердичів",63,"місто Бердичів, Андрушівський, Бердичівський, Попільнянський, Ружинський райони",TRUE,,
Житомирська область,65,"Коростенський, Лугинський, Овруцький, Олевський райони, місто Коростень",64,"місто Коростень, Коростенський, Лугинський, Овруцький, Олевський райони",TRUE,,
Житомирська область,66,"Баранівський, Ємільчинський, Новоград-Волинський, Червоноармійський райони, місто Новоград-Волинський",65,"місто Новоград-Волинський, Баранівський, Ємільчинський, Новоград-Волинський, Червоноармійський райони",TRUE,,
Житомирська область,67,"Володарсько-Волинський, Коростишівський, Малинський, Народицький, Радомишльський, Черняхівський райони, місто Малин",66,"місто Малин, Брусилівський, Володарсько-Волинський, Коростишівський, Малинський, Народицький, Радомишльський, Черняхівський райони",FALSE,,
Житомирська область,68,"Андрушівський, Брусилівський, Житомирський, Попільнянський, Ружинський райони",67,"частина Богунського району міста Житомира (виборчі дільниці № 181373 – 181381, 181387, 181390 – 181398), Житомирський, Любарський, Романівський, Чуднівський райони",FALSE,,
Закарпатська область,69,"Ужгородський район, міста Ужгород, Чоп",68,"міста Ужгород, Чоп, Ужгородський район",TRUE,,
Закарпатська область,70,"Мукачівський район, місто Мукачеве",69,"місто Мукачеве, частина Берегівського (виборчі дільниці № 210003 – 210005, 210012, 210013, 210015, 210017, 210019, 210021, 210029 – 210032, 210035), частина Іршавського (виборчі дільниці № 210172 –210180, 210203 – 210212, 210223 – 210228), частина Мукачівського (виборчі дільниці № 210303 – 210330, 210332 – 210339, 210343 – 210345, 210347 – 210365) районів",FALSE,,
Закарпатська область,71,"Великоберезнянський, Воловецький, Міжгірський, Перечинський, Свалявський райони",70,"Великоберезнянський, Воловецький, Міжгірський, Перечинський, Свалявський райони, частина Мукачівського району (виборчі дільниці № 210278 – 210302, 210331, 210340 – 210342, 210346)",TRUE,,FALSE
Закарпатська область,72,"Іршавський, Хустський райони, місто Хуст",71,"місто Хуст, Хустський район, частина Іршавського (виборчі дільниці № 210168 –210171, 210181 – 210183, 210185 – 210190, 210192 – 210195, 210198 – 210202), частина Тячівського (виборчі дільниці № 210479 –210481, 210504, 210516, 210522 – 210524, 210529, 210534, 210535, 210537, 210538) районів",TRUE,,
Закарпатська область,73,"Рахівський, Тячівський райони",72,"Рахівський район, частина Тячівського району (виборчі дільниці № 210474 – 210478, 210482 – 210503, 210505 – 210515, 210517 – 210521, 210525 – 210528, 210530 – 210533, 210536, 210539 – 210547)",TRUE,,
Закарпатська область,74,"Берегівський, Виноградівський райони, місто Берегове",73,"місто Берегове, Виноградівський район, частина Берегівського (виборчі дільниці № 210001, 210002, 210006 – 210011, 210014, 210016, 210018, 210020, 210022 – 210028, 210033, 210034, 210036), частина Іршавського (виборчі дільниці № 210184, 210191, 210196, 210197, 210213 – 210222) районів",TRUE,,
Запорізька область,75,"Жовтневий, Комунарський райони в місті Запоріжжі",74,"Комунарський район, частина Жовтневого району міста Запоріжжя (виборчі дільниці № 230811, 230814, 230820 – 230836)",TRUE,,
Запорізька область,76,"Заводський, Ленінський райони в місті Запоріжжі",75,"Заводський, Ленінський райони міста Запоріжжя",TRUE,,
Запорізька область,77,"Орджонікідзевський, Хортицький райони в місті Запоріжжі",76,"Орджонікідзевський, Хортицький райони міста Запоріжжя",TRUE,,
Запорізька область,78,Шевченківський район у місті Запоріжжі,77,"Шевченківський район, частина Жовтневого району міста Запоріжжя (виборчі дільниці № 230809, 230810, 230812, 230813, 230815 –230819)",TRUE,,
Запорізька область,79,"Бердянський, Куйбишевський, Розівський, Чернігівський райони, місто Бердянськ",78,"місто Бердянськ з населеними пунктами Бердянської міської ради, Бердянський, Куйбишевський, Розівський, Чернігівський райони",TRUE,,
Запорізька область,80,"Василівський, Великобілозерський, Кам'янсько-Дніпровський, Оріхівський райони, місто Енергодар",79,"місто Енергодар, Василівський, Великобілозерський, Кам’янсько-Дніпровський райони, частина Оріхівського району (виборчі дільниці № 230376 – 230386, 230388 – 230392, 230394 – 230399, 230401 –230406, 230408 – 230414)",TRUE,,
Запорізька область,81,"Мелітопольський район, місто Мелітополь",80,"місто Мелітополь, Мелітопольський район",TRUE,,
