oblast_name,TVO_2010.tvo,TVO_2010.includes,TVO_2012.tvo,TVO_2012.includes,details_same_int,indices,similar
Сумська область,159,"Зарічний, Ковпаківський райони в місті Сумах",158,"частина Зарічного району міста Сум (виборчі дільниці № 590896 – 590925, 590944 – 590946), Білопільський, Краснопільський, Сумський райони",,,
Сумська область,159,"Зарічний, Ковпаківський райони в місті Сумах",157,"Ковпаківський район, частина Зарічного району міста Сум (виборчі дільниці № 590884 – 590895, 590926 – 590943, 591015), село Піщане Сумської міської ради з населеними пунктами Піщанської сільської ради",FALSE,,
Сумська область,160,"Білопільський, Лебединський, Сумський райони, місто Лебедин",162,"міста Лебедин, Охтирка, Великописарівський, Лебединський, Охтирський, Тростянецький райони",FALSE,,
Сумська область,161,"Глухівський, Середино-Будський, Шосткинський, Ямпільський райони, міста Глухів, Шостка",159,"місто Глухів, Глухівський, Путивльський, Середино-Будський, Ямпільський райони, частина Кролевецького (виборчі дільниці № 590260 –590274, 590276 – 590278, 590280, 590282 – 590284, 590287, 590288, 590291, 590295 – 590299), частина Конотопського (виборчі дільниці № 590176, 590177, 590181 – 590183, 590185, 590186, 590188, 590190 – 590192, 590196 –590198, 590210, 590213), частина Шосткінського (виборчі дільниці № 590679 – 590688, 590694 – 590699) районів",FALSE,,
Сумська область,162,"Конотопський, Кролевецький, Путивльський райони, місто Конотоп",160,"міста Конотоп, Шостка, частина Конотопського (виборчі дільниці № 590179, 590180, 590200, 590207, 590208), частина Кролевецького (виборчі дільниці № 590275, 590279, 590281, 590285, 590286, 590289, 590290, 590292 – 590294), частина Шосткінського (виборчі дільниці № 590675 –590678, 590689 – 590693, 590700 – 590703) районів",FALSE,,
Сумська область,163,"Буринський, Липоводолинський, Недригайлівський, Роменський райони, місто Ромни",161,"місто Ромни, Буринський, Липоводолинський, Недригайлівський, Роменський райони, частина Конотопського району (виборчі дільниці № 590172 – 590175, 590178, 590184, 590187, 590189, 590193 – 590195, 590199, 590201 – 590206, 590209, 590211, 590212, 590214 –590218)",FALSE,,
Сумська область,164,"Великописарівський, Краснопільський, Охтирський, Тростянецький райони, місто Охтирка",162,"міста Лебедин, Охтирка, Великописарівський, Лебединський, Охтирський, Тростянецький райони",FALSE,,
Тернопільська область,165,місто Тернопіль,163,частина міста Тернополя (виборчі дільниці № 611096 – 611181),FALSE,,
Тернопільська область,166,"Збаразький, Кременецький, Лановецький, Підволочиський, Шумський райони",164,"Збаразький, Лановецький, Підволочиський, Шумський райони, частина Кременецького району (виборчі дільниці № 610544 – 610552, 610554 – 610587, 610591, 610592, 610596 – 610604, 610607, 610609, 610610, 610613 – 610616)",FALSE,,
Тернопільська область,167,"Бережанський, Зборівський, Козівський, Підгаєцький, Тернопільський райони",165,"частина міста Тернополя (виборчі дільниці № 611092 – 611095), Бережанський, Зборівський, Козівський, Підгаєцький, Тернопільський райони, частина Кременецького району (виборчі дільниці № 610542, 610543, 610553, 610588 – 610590, 610593 – 610595, 610605, 610606, 610608, 610611, 610612)",FALSE,,
Тернопільська область,168,"Бучацький, Гусятинський, Монастириський, Теребовлянський райони",166,"Бучацький, Гусятинський, Монастириський, Теребовлянський райони",TRUE,,
Тернопільська область,169,"Борщівський, Заліщицький, Чортківський райони",167,"Борщівський, Заліщицький, Чортківський райони",TRUE,,
Харківська область,170,Дзержинський район у місті Харкові,168,Дзержинський район міста Харкова,TRUE,,
Харківська область,171,Київський район у місті Харкові,169,"Київський район, частина Московського району міста Харкова (виборчі дільниці № 631415 – 631421, 631481 – 631484, 631525 – 631527)",FALSE,,
Харківська область,172,Московський район у місті Харкові,170,"частина Московського району міста Харкова (виборчі дільниці № 631422 – 631446, 631451 – 631461, 631467 – 631480, 631485 – 631492, 631506 – 631524, 631528 – 631532)",FALSE,,
Харківська область,173,"Ленінський, Фрунзенський райони в місті Харкові",171,"Фрунзенський район, частина Комінтернівського (виборчі дільниці № 631354 – 631372), частина Орджонікідзевського (виборчі дільниці № 631533 – 631536) районів міста Харкова",FALSE,,
Харківська область,176,"Жовтневий, Червонозаводський райони в місті Харкові",174,"Жовтневий, Ленінський райони міста Харкова",,,
Харківська область,174,Орджонікідзевський район у місті Харкові,172,"частина Московського (виборчі дільниці № 631447 – 631450, 631462 – 631466, 631493 – 631505), частина Орджонікідзевського (виборчі дільниці № 631537 – 631590) районів міста Харкова",FALSE,,
Харківська область,175,Комінтернівський район у місті Харкові,173,"Червонозаводський район, частина Комінтернівського району міста Харкова (виборчі дільниці № 631316 – 631353, 631373 – 631375, 631689)",FALSE,,
Харківська область,176,"Жовтневий, Червонозаводський райони в місті Харкові",173,"Червонозаводський район, частина Комінтернівського району міста Харкова (виборчі дільниці № 631316 – 631353, 631373 – 631375, 631689)",FALSE,,
Харківська область,177,"Богодухівський, Дергачівський, Золочівський, Краснокутський райони",180,"Богодухівський, Валківський, Золочівський, Коломацький, Краснокутський, Нововодолазький райони, частина Харківського району (виборчі дільниці № 630820 – 630822)",FALSE,,
Харківська область,178,"Великобурлуцький, Вовчанський, Дворічанський, Печенізький, Чугуївський райони, місто Чугуїв",176,"місто Чугуїв, Великобурлуцький, Вовчанський, Дворічанський, Печенізький, Чугуївський райони",TRUE,,
Харківська область,179,"Борівський, Ізюмський, Куп'янський, Шевченківський райони, міста Ізюм, Куп'янськ",177,"міста Ізюм, Куп’янськ, Борівський, Ізюмський, Куп’янський, Шевченківський райони",FALSE,,
Харківська область,181,"Близнюківський, Лозівський, Первомайський, Сахновщинський райони, міста Лозова, Первомайський",179,"місто Лозова, Зачепилівський, Кегичівський, Красноградський, Лозівський, Сахновщинський райони",,,
Харківська область,180,"Балаклійський, Барвінківський, Зміївський райони",181,"Зміївський район, частина Харківського району (виборчі дільниці № 630779 – 630809, 630823 – 630828, 630832, 630837 – 630839, 630846, 630847, 630860 – 630873, 630880, 630882, 630883)",FALSE,,
Харківська область,181,"Близнюківський, Лозівський, Первомайський, Сахновщинський райони, міста Лозова, Первомайський",178,"місто Первомайський, Балаклійський, Барвінківський, Близнюківський, Первомайський райони",FALSE,,
Харківська область,182,"Валківський, Зачепилівський, Кегичівський, Коломацький, Красноградський, Нововодолазький райони",180,"Богодухівський, Валківський, Золочівський, Коломацький, Краснокутський, Нововодолазький райони, частина Харківського району (виборчі дільниці № 630820 – 630822)",FALSE,,
Харківська область,183,"Харківський район, місто Люботин",175,"місто Люботин, Дергачівський район, частина Харківського району (виборчі дільниці № 630810 – 630819, 630829 – 630831, 630833 –630836, 630840 – 630845, 630848 – 630859, 630874 – 630879, 630881)",FALSE,,
Херсонська область,184,"Білозерський район, Комсомольський район у місті Херсоні (з населеними пунктами Комсомольської районної в місті Херсоні ради)",183,"Комсомольський район, частина Дніпровського (виборчі дільниці № 650654 – 650661, 650671), частина Суворовського (виборчі дільниці № 650769 – 650772) районів міста Херсона з населеними пунктами Дніпровської, Суворовської та Комсомольської районних у місті Херсоні рад, Білозерський район.",FALSE,,
Херсонська область,185,"Дніпровський, Суворовський райони в місті Херсоні (з населеними пунктами Дніпровської та Суворовської районних у місті Херсоні рад)",182,"частина Дніпровського (виборчі дільниці № 650622 – 650653, 650662 – 650670), частина Суворовського (виборчі дільниці № 650726 – 650768, 650773 – 650782) районів міста Херсона з населеними пунктами Дніпровської та Суворовської районних у місті Херсоні рад",FALSE,,
Херсонська область,186,"Бериславський, Великоолександрівський, Високопільський, Нововоронцовський райони, місто Нова Каховка (з населеними пунктами Новокаховської міської ради)",184,"місто Нова Каховка з населеними пунктами Новокаховської міської ради, Бериславський, Великолепетиський, Великоолександрівський, Високопільський, Горностаївський, Нововоронцовський райони",FALSE,,
Херсонська область,187,"Голопристанський, Каланчацький, Скадовський, Цюрупинський райони",186,"Голопристанський, Каланчацький, Скадовський, Цюрупинський райони, частина Чаплинського району (виборчі дільниці № 650539 – 650543, 650547, 650549 – 650561)",FALSE,,
Херсонська область,188,"Великолепетиський, Верхньорогачицький, Горностаївський, Каховський, Нижньосірогозький, райони, місто Каховка",185,"місто Каховка, Верхньорогачицький, Генічеський, Іванівський, Каховський, Нижньосірогозький, Новотроїцький райони, частина Чаплинського району (виборчі дільниці № 650534 – 650538, 650544 – 650546, 650548, 650562, 650563).",FALSE,,
Херсонська область,189,"Генічеський, Іванівський, Новотроїцький, Чаплинський райони",185,"місто Каховка, Верхньорогачицький, Генічеський, Іванівський, Каховський, Нижньосірогозький, Новотроїцький райони, частина Чаплинського району (виборчі дільниці № 650534 – 650538, 650544 – 650546, 650548, 650562, 650563).",FALSE,,
Хмельницька область,190,місто Хмельницький,188,"частина міста Хмельницького (виборчі дільниці № 681427 –681454), Волочиський, Хмельницький райони",,,
Хмельницька область,190,місто Хмельницький,187,частина міста Хмельницького (виборчі дільниці № 681455 –681536),FALSE,,
Хмельницька область,191,"Білогірський, Волочиський, Ізяславський, Теофіпольський райони",189,"місто Нетішин, Білогірський, Ізяславський, Красилівський, Теофіпольський райони",FALSE,,
Хмельницька область,195,"міста Нетішин, Славута, Шепетівка, Славутський, Шепетівський райони",190,"міста Славута, Шепетівка, Полонський, Славутський, Шепетівський райони",,,
Хмельницька область,192,"Деражнянський, Летичівський, Старосинявський, Хмельницький, Ярмолинецький райони",192,"Городоцький, Дунаєвецький, Чемеровецький, Ярмолинецький райони",FALSE,,
Хмельницька область,193,"місто Кам'янець-Подільський, Кам'янець-Подільський, Чемеровецький райони",193,"місто Кам’янець-Подільський, Кам’янець-Подільський, Новоушицький райони",FALSE,,
Хмельницька область,194,"Віньковецький, Городоцький, Дунаєвецький, Новоушицький райони",192,"Городоцький, Дунаєвецький, Чемеровецький, Ярмолинецький райони",FALSE,,
Хмельницька область,195,"міста Нетішин, Славута, Шепетівка, Славутський, Шепетівський райони",189,"місто Нетішин, Білогірський, Ізяславський, Красилівський, Теофіпольський райони",FALSE,,
Хмельницька область,196,"місто Старокостянтинів, Красилівський, Полонський, Старокостянтинівський райони",191,"місто Старокостянтинів, Віньковецький, Деражнянський, Летичівський, Старокостянтинівський, Старосинявський райони",FALSE,,
Черкаська область,197,"Черкаський район, Придніпровський район у місті Черкасах",194,"Придніпровський район, частина Соснівського району міста Черкас (виборчі дільниці № 711039 – 711042, 711044, 711049, 711080 –711100)",FALSE,,
Черкаська область,198,Соснівський район у місті Черкасах,195,"частина Соснівського району міста Черкас (виборчі дільниці № 711043, 711045 – 711048, 711050 – 711067, 711074 – 711079), Драбівський, Чигиринський, Чорнобаївський райони",FALSE,,
Черкаська область,199,"Городищенський, Корсунь-Шевченківський, Лисянський, Шполянський райони",196,"Городищенський, Катеринопільський, Корсунь-Шевченківський, Шполянський райони, частина Канівського (виборчі дільниці № 710263, 710266, 710274, 710280 – 710285, 710287, 710289 –710291, 710298 – 710303), частина Лисянського (виборчі дільниці № 710403, 710404, 710411, 710412, 710420, 710421, 710433), частина Тальнівського (виборчі дільниці № 710563 – 710565, 710567, 710569 – 710579, 710582 –710585, 710587 – 710590, 710593 – 710597) районів",FALSE,,
Черкаська область,200,"Драбівський, Золотоніський, Канівський, Чорнобаївський райони, міста Золотоноша, Канів",197,"міста Золотоноша, Канів, частина Соснівського району міста Черкас (виборчі дільниці № 711030 – 711038, 711068 – 711073), Золотоніський район, частина Канівського (виборчі дільниці № 710264, 710265, 710267 –710273, 710275 – 710279, 710286, 710288, 710292 – 710297, 710304 – 710309), частина Черкаського (виборчі дільниці № 710691, 710696, 710697, 710700, 710701, 710706, 710709, 710710, 710711 – 710713, 710716 – 710719, 710722 –710725, 710735, 710736) районів",FALSE,,
Черкаська область,201,"місто Сміла, Кам'янський, Смілянський, Чигиринський райони",198,"місто Сміла, Кам’янський, Смілянський райони, частина Черкаського району (виборчі дільниці № 710690, 710692 – 710695, 710698, 710699, 710702 – 710705, 710707, 710708, 710714, 710715, 710720, 710721, 710726 – 710734, 710737)",FALSE,,
Черкаська область,202,"місто Ватутіне, Жашківський, Звенигородський, Катеринопільський, Маньківський, Тальнівський райони",199,"місто Ватутіне, Жашківський, Звенигородський, Маньківський райони, частина Лисянського (виборчі дільниці № 710397 – 710402, 710405 –710410, 710413 – 710419, 710422 – 710432, 710434, 710435), частина Тальнівського (виборчі дільниці № 710548 – 710562, 710568, 710580, 710586, 710591, 710592) районів",FALSE,,
Черкаська область,203,"місто Умань, Монастирищенський, Уманський, Христинівський райони",200,"місто Умань, Монастирищенський, Уманський, Христинівський райони, частина Тальнівського району (виборчі дільниці № 710566, 710581)",FALSE,,
Чернівецька область,204,місто Чернівці,203,"частина Садгірського району міста Чернівців (виборчі дільниці № 730481 – 730486), Герцаївський, Глибоцький, Новоселицький райони, частина Сторожинецького району (виборчі дільниці № 730352 – 730354, 730362, 730363, 730367, 730376, 730377, 730379, 730380, 730388, 730389)",,,
Чернівецька область,204,місто Чернівці,201,"Першотравневий, Шевченківський райони, частина Садгірського району міста Чернівців (виборчі дільниці № 730480, 730487 –730492)",FALSE,,
Чернівецька область,205,"Сторожинецький, Вижницький, Кіцманський, Путильський райони",202,"Вижницький, Кіцманський, Путильський райони, частина Сторожинецького району (виборчі дільниці № 730338 – 730351, 730355 –730361, 730364 – 730366, 730368 – 730375, 730378, 730381 – 730387, 730390 –730394)",FALSE,,
Чернівецька область,206,"Герцаївський, Глибоцький, Новоселицький райони",206,"частина Новозаводського району міста Чернігова (виборчі дільниці № 741061 – 741085, 741087 – 741095, 741100 – 741108), Ріпкинський, Чернігівський райони",FALSE,,
Чернівецька область,207,"місто Новодністровськ, Хотинський, Заставнівський, Сокирянський, Кельменецький райони",204,"місто Новодністровськ, Заставнівський, Кельменецький, Сокирянський, Хотинський райони",FALSE,,
Чернігівська область,208,"Деснянський, Новозаводський райони в місті Чернігові",205,"Деснянський район, частина Новозаводського району міста Чернігова (виборчі дільниці № 741086, 741096 – 741099)",FALSE,,
Чернігівська область,209,"Городнянський, Ріпкинський, Чернігівський, Щорський райони",207,"Городнянський, Коропський, Корюківський, Новгород-Сіверський, Семенівський, Сосницький, Щорський райони",FALSE,,
Чернігівська область,210,"Бобровицький, Козелецький, Куликівський, Носівський райони",210,"місто Прилуки, Бобровицький, Козелецький, Прилуцький райони",FALSE,,
Чернігівська область,211,"місто Ніжин, Бахмацький, Борзнянський, Ніжинський райони",209,"місто Ніжин, Варвинський, Ніжинський, Носівський, Срібнянський райони, частина Ічнянського району (виборчі дільниці № 740202, 740203, 740205 – 740207, 740210 – 740214, 740216, 740217, 740219, 740220, 740222 – 740224, 740226, 740227, 740229, 740230, 740233, 740234, 740237, 740238)",FALSE,,
Чернігівська область,212,"місто Прилуки, Варвинський, Ічнянський, Прилуцький, Срібнянський, Талалаївський райони",210,"місто Прилуки, Бобровицький, Козелецький, Прилуцький райони",FALSE,,
Чернігівська область,213,"Коропський, Корюківський, Менський, Новгород-Сіверський, Семенівський, Сосницький райони",208,"Бахмацький, Борзнянський, Куликівський, Менський, Талалаївський райони, частина Ічнянського району (виборчі дільниці № 740197 – 740201, 740204, 740208, 740209, 740215, 740218, 740221, 740225, 740228, 740231, 740232, 740235, 740236, 740239, 740240)",FALSE,,
м.Київ область,216,Деснянський район у місті Києві,213,"частина Деснянського району міста Києва (виборчі дільниці № 800215 – 800227, 800236 – 800243, 800254 – 800270, 800273 – 800304, 801068 – 801070)",,,
м.Київ область,214,Голосіївський район у місті Києві,211,Голосіївський район міста Києва,FALSE,,
м.Київ область,215,Дарницький район у місті Києві,215,"частина Деснянського (виборчі дільниці № 800228 – 800235, 800244 – 800253, 800271, 800272, 800305 – 800341), частина Дніпровського (виборчі дільниці № 800342 – 800349, 800354 – 800365, 800367, 800368) районів міста Києва",FALSE,,
м.Київ область,216,Деснянський район у місті Києві,212,"частина Дарницького району міста Києва (виборчі дільниці № 800086 – 800156, 800205 – 800214)",FALSE,,
м.Київ область,215,Дарницький район у місті Києві,216,"частина Дарницького (виборчі дільниці № 800157 – 800204), частина Дніпровського (виборчі дільниці № 800408 – 800430, 800435 –800437) районів міста Києва",,,
м.Київ область,217,Дніпровський район у місті Києві,214,"частина Дніпровського району міста Києва (виборчі дільниці № 800350 – 800353, 800366, 800369 – 800407, 800431 – 800434, 800438 – 800470)",FALSE,,
м.Київ область,218,Оболонський район у місті Києві,217,"частина Оболонського району міста Києва (виборчі дільниці № 800471 –800547, 800577, 800578)",FALSE,,
м.Київ область,218,Оболонський район у місті Києві,218,"частина Оболонського (виборчі дільниці № 800548 – 800576, 800579 – 800582), частина Святошинського (виборчі дільниці № 800781 –800822) районів міста Києва",,,
м.Київ область,219,Печерський район у місті Києві,221,"Печерський район, частина Солом’янського (виборчі дільниці № 800828 – 800843, 800850, 800851, 800865, 800869 – 800871, 800873, 800877 – 800885, 800887 – 800891, 800950 – 800956, 800958, 800959), частина Шевченківського (виборчі дільниці № 800960 – 800964, 800966, 800967, 800975) районів міста Києва",FALSE,,
м.Київ область,220,Подільський район у місті Києві,220,Подільський район міста Києва,FALSE,,
м.Київ область,221,Святошинський район у місті Києві,219,"частина Святошинського району міста Києва (виборчі дільниці № 800702 –800780, 800823 – 800827)",FALSE,,
м.Київ область,222,Солом'янський район у місті Києві,222,"частина Солом’янського району міста Києва (виборчі дільниці № 800844 –800849, 800852 – 800864, 800866 – 800868, 800872, 800874 –800876, 800886, 800892 – 800949, 800957)",FALSE,,
м.Київ область,223,Шевченківський район у місті Києві,223,"частина Шевченківського району міста Києва (виборчі дільниці № 800965, 800968 – 800974, 800976 – 801066)",FALSE,,
Севастополь область,224,"Балаклавський, Гагарінський райони в місті Севастополі (з населеними пунктами Балаклавської районної в місті Севастополі ради)",224,"Балаклавський район з населеними пунктами Балаклавської районної у місті Севастополі ради, Гагарінський район, частина Ленінського району міста Севастополя (виборчі дільниці № 850120 – 850122, 850131– 850135)",FALSE,,
Севастополь область,225,"Ленінський, Нахімовський райони в місті Севастополі (з населеними пунктами Нахімовської районної в місті Севастополі ради)",225,"Нахімовський район з населеними пунктами Нахімовської районної у місті Севастополі ради, частина Ленінського району міста Севастополя (виборчі дільниці № 850088 – 850119, 850123 – 850130, 850136 –850144)",FALSE,,