"oblast","TVO_pres","desc_pres","TVO_parl","desc_parl","age_2014","pop_change_2014","region_ideology"
"Автономна Республіка Крим",1,"Центральний, Залізничний райони в місті Сімферополі",1,"Залізничний район міста Сімферополя з населеними пунктами Залізничної районної в місті Сімферополі ради, Центральний район міста Сімферополя",40.5,NA,"blue"
"Автономна Республіка Крим",2,"Київський район у місті Сімферополі",2,"Київський район міста Сімферополя з населеними пунктами Київської районної в місті Сімферополі ради, частина Сімферопольського району (виборчі дільниці № 010583 – 010595, 010601 – 010603, 010631 –010637, 010647, 010648)",40.5,NA,"blue"
"Автономна Республіка Крим",3,"місто Джанкой, Джанкойський, Красногвардійський райони",3,"місто Джанкой, Джанкойський, Красногвардійський райони",40.5,NA,"blue"
"Автономна Республіка Крим",4,"міста Євпаторія, Саки, Сакський район",4,"міста Євпаторія з населеними пунктами Євпаторійської міської ради, Саки, Сакський район",40.5,NA,"blue"
"Автономна Республіка Крим",5,"місто Керч, Ленінський район",5,"місто Керч, частина Ленінського району (виборчі дільниці № 010346 – 010350, 010352 – 010356, 010358, 010360, 010362, 010363, 010365, 010366, 010370 – 010374, 010379, 010380, 010382 – 010384)",40.5,NA,"blue"
"Автономна Республіка Крим",6,"міста Феодосія, Судак, Кіровський район",6,"місто Феодосія з населеними пунктами Феодосійської міської ради, Кіровський район, частина Ленінського району (виборчі дільниці № 010343, 010357, 010359, 010364, 010367 – 010369, 010375, 010376, 010378, 010386 – 010394)",40.5,NA,"blue"
"Автономна Республіка Крим",7,"міста Ялта, Алушта",7,"міста Алушта, Ялта з населеними пунктами Алуштинської та Ялтинської міських рад",40.5,NA,"blue"
"Автономна Республіка Крим",8,"Білогірський, Нижньогірський, Совєтський райони",8,"місто Судак з населеними пунктами Судацької міської ради, Білогірський, Нижньогірський, Совєтський райони, частина Сімферопольського району (виборчі дільниці № 010608, 010609, 010612 –010614)",40.5,NA,"blue"
"Автономна Республіка Крим",9,"міста Красноперекопськ, Армянськ, Красноперекопський, Первомайський, Роздольненський, Чорноморський райони",9,"міста Армянськ з населеними пунктами Армянської міської ради, Красноперекопськ, Красноперекопський, Первомайський, Роздольненський, Чорноморський райони",40.5,NA,"blue"
"Автономна Республіка Крим",10,"Сімферопольський, Бахчисарайський райони",10,"Бахчисарайський район, частина Сімферопольського району (виборчі дільниці № 010564 – 010582, 010596 – 010600, 010604 – 010607, 010610, 010611, 010615 – 010630, 010638 – 010646)",40.5,NA,"blue"
"Вінницька область",11,"території колишніх Ленінського та Староміського районів у місті Вінниці",11,"частина міста Вінниці (виборчі дільниці № 051477 – 051547, 051575 – 051586), частина Вінницького району (виборчі дільниці № 050130 –050137, 050145, 050149, 050154 – 050156, 050161, 050162, 050164 – 050167, 050185 – 050192)",41.1,-4.7,"grey"
"Вінницька область",12,"територія колишнього Замостянського району у місті Вінниці, Вінницький район",12,"частина міста Вінниці (виборчі дільниці № 051435 – 051476, 051548 – 051569, 051571 – 051574, 051587 – 051590, 051670), частина Вінницького району (виборчі дільниці № 050125 – 050129, 050138 – 050144, 050146 – 050148, 050150 – 050153, 050157 – 050160, 050163, 050168 – 050184)",41.1,-4.7,"grey"
"Вінницька область",13,"міста Козятин, Хмільник, Калинівський, Козятинський, Хмільницький райони",13,"міста Козятин, Хмільник, Калинівський, Козятинський, Хмільницький райони",41.1,-4.7,"grey"
"Вінницька область",14,"місто Жмеринка, Барський, Жмеринський, Літинський, Мурованокуриловецький райони",14,"місто Жмеринка, Барський, Жмеринський, Літинський, Тиврівський райони",41.1,-4.7,"grey"
"Вінницька область",15,"Гайсинський, Іллінецький, Липовецький, Оратівський, Погребищенський райони",15,"Мурованокуриловецький, Томашпільський, Тульчинський, Чернівецький, Шаргородський райони",41.1,-4.7,"grey"
"Вінницька область",18,"місто Могилів-Подільський, Крижопільський, Могилів-Подільський, Томашпільський, Чернівецький, Ямпільський райони",16,"місто Могилів-Подільський, Крижопільський, Могилів-Подільський, Піщанський, Чечельницький, Ямпільський райони",41.1,-4.7,"grey"
"Вінницька область",17,"місто Ладижин, Бершадський, Піщанський, Теплицький, Тростянецький, Чечельницький райони",17,"місто Ладижин, Бершадський, Гайсинський, Теплицький, Тростянецький райони",41.1,-4.7,"grey"
"Вінницька область",16,"Немирівський, Тиврівський, Тульчинський, Шаргородський райони",18,"Іллінецький, Липовецький, Немирівський, Оратівський, Погребищенський райони",41.1,-4.7,"grey"
"Волинська область",19,"міста Володимир-Волинський, Нововолинськ, Володимир-Волинський, Іваничівський, Любомльський райони",19,"міста Володимир-Волинський, Нововолинськ, Володимир-Волинський, Іваничівський, Любомльський райони",37.5,1.6,"orange"
"Волинська область",20,"Горохівський, Локачинський, Луцький, Рожищенський, Турійський райони",20,"Горохівський, Локачинський, Луцький, Рожищенський, Турійський райони",37.5,1.6,"orange"
"Волинська область",21,"місто Ковель, Ковельський, Ратнівський, Старовижівський, Шацький райони",21,"місто Ковель, Ковельський, Ратнівський, Старовижівський, Шацький райони",37.5,1.6,"orange"
"Волинська область",22,"місто Луцьк",22,"місто Луцьк",37.5,1.6,"orange"
"Волинська область",23,"Камінь-Каширський, Ківерцівський, Любешівський, Маневицький райони",23,"Камінь-Каширський, Ківерцівський, Любешівський, Маневицький райони",37.5,1.6,"orange"
"Дніпропетровська область",24,"Амур-Нижньодніпровський район у місті Дніпропетровську",24,"Індустріальний район, частина Самарського району міста Дніпропетровська виборчі дільниці № 121444 – 121463, 121467 – 121479, 121481)",41,-4.8,"grey"
"Дніпропетровська область",25,"Індустріальний, Самарський райони в місті Дніпропетровську",25,"частина Амур-Нижньодніпровського району (виборчі дільниці № 121063, 121064, 121071 – 121077, 121084, 121087 – 121103), Красногвардійський район міста Дніпропетровська",41,-4.8,"grey"
"Дніпропетровська область",27,"Бабушкінський район у місті Дніпропетровську, смт Авіаторське Дніпропетровської міської ради",26,"Бабушкінський район, частина Кіровського району міста Дніпропетровська (виборчі дільниці № 121286 – 121291, 121293 – 121298, 121310 – 121315), смт Авіаторське Дніпропетровської міської ради",41,-4.8,"grey"
"Дніпропетровська область",26,"Жовтневий район у місті Дніпропетровську",27,"Жовтневий район, частина Кіровського (виборчі дільниці № 121299 – 121309, 121316, 121317), частина Самарського (виборчі дільниці № 121464 – 121466, 121480) районів міста Дніпропетровська",41,-4.8,"grey"
"Дніпропетровська область",29,"Ленінський район у місті Дніпропетровську",28,"Ленінський район міста Дніпропетровська, частина Амур-Нижньодніпровського району (виборчі дільниці № 121059 – 121062)",41,-4.8,"grey"
"Дніпропетровська область",28,"Красногвардійський, Кіровський райони в місті Дніпропетровську",29,"частина Амур-Нижньодніпровського району міста Дніпропетровська (виборчі дільниці № 121046 – 121058, 121065 – 121070, 121078 – 121083, 121085, 121086, 121104), Дніпропетровський, Петриківський райони",41,-4.8,"grey"
"Дніпропетровська область",30,"місто Дніпродзержинськ, смт Карнаухівка, селище Світле Баглійської районної в місті Дніпродзержинську ради",30,"Баглійський, Дніпровський райони, частина Заводського району міста Дніпродзержинська (виборчі дільниці № 121012 – 121021, 121028, 121030, 121036 – 121038, 121040 – 121043)",41,-4.8,"grey"
"Дніпропетровська область",31,"Жовтневий, Тернівський райони в місті Кривому Розі, селища Гірницьке, Коломійцеве, села Новоіванівка і Тернуватий Кут Криворізької міської ради",31,"Жовтневий район, частина Тернівського району міста Кривого Рогу (виборчі дільниці № 121694 – 121728, 121730 – 121733, 121780), селища Гірницьке, Коломійцеве, села Новоіванівка, Тернуватий Кут Криворізької міської ради",41,-4.8,"grey"
"Дніпропетровська область",32,"Саксаганський, Довгинцівський райони міста Кривого Рогу",32,"Довгинцівський район, частина Саксаганського району (виборчі дільниці № 121638 – 121683, 121690 – 121693) міста Кривого Рогу",41,-4.8,"grey"
"Дніпропетровська область",33,"Дзержинський, Інгулецький, Центрально-Міський райони в місті Кривому Розі, селище Авангард Криворізької міської ради",33,"Дзержинський район, частина Інгулецького (виборчі дільниці № 121611 – 121619, 121636), частина Саксаганського (виборчі дільниці № 121684 – 121689) районів, Центрально-Міський район міста Кривого Рогу, селище Авангард Криворізької міської ради",41,-4.8,"grey"
"Дніпропетровська область",34,"Верхньодніпровський, П'ятихатський райони, міста Вільногірськ, Жовті Води, село Суха Балка Жовтоводської міської ради",34,"міста Вільногірськ, Жовті Води, Верхньодніпровський, П’ятихатський, Царичанський райони",41,-4.8,"grey"
"Дніпропетровська область",35,"Нікопольський район, міста Марганець, Нікополь, смт Мар'ївка, селище Максимівка Марганецької міської ради",35,"міста Нікополь, Орджонікідзе, Нікопольський район",41,-4.8,"grey"
"Дніпропетровська область",36,"Павлоградський, Петропавлівський, Юр'ївський райони, міста Павлоград, Першотравенськ, Тернівка, село Зелена Долина Тернівської міської ради",36,"міста Павлоград, Першотравенськ, Тернівка, Павлоградський район",41,-4.8,"grey"
"Дніпропетровська область",37,"Апостолівський, Криворізький, Софіївський, Широківський райони, місто Орджонікідзе, селища міського типу Гірницьке, Чортомлик Орджонікідзевської міської ради",37,"частина Інгулецького (виборчі дільниці № 121620 – 121635, 121637), частина Тернівського (виборча дільниця № 121729) районів міста Кривого Рогу, Апостолівський, Криворізький, Софіївський, Широківський райони",41,-4.8,"grey"
"Дніпропетровська область",38,"місто Новомосковськ, Магдалинівский, Новомосковський, Петриківський, Царичанський райони",38,"місто Новомосковськ, Магдалинівський, Новомосковський, Юр’ївський райони",41,-4.8,"grey"
"Дніпропетровська область",39,"місто Синельникове, Васильківський, Межівський, Покровський, Синельниківський райони",39,"місто Синельникове, Васильківський, Межівський, Петропавлівський, Покровський, Синельниківський райони",41,-4.8,"grey"
"Дніпропетровська область",35,"Нікопольський район, міста Марганець, Нікополь, смт Мар'ївка, селище Максимівка Марганецької міської ради",40,"місто Марганець, частина Заводського району міста Дніпродзержинська (виборчі дільниці № 121022 – 121027, 121029, 121031 –121035, 121039, 121044, 121045), Криничанський, Солонянський, Томаківський райони",41,-4.8,"grey"
"Донецька область",41,"Будьоннівський, Пролетарський райони в місті Донецьку",41,"Будьонівський, Пролетарський райони міста Донецька",42.5,NA,"blue"
"Донецька область",42,"Ворошиловський, Калінінський райони в місті Донецьку",42,"Ворошиловський, Калінінський райони, частина Куйбишевського району міста Донецька (виборчі дільниці № 141833, 141836 – 141842)",42.5,NA,"blue"
"Донецька область",43,"Куйбишевський, Ленінський райони в місті Донецьку",43,"Ленінський район, частина Кіровського (виборчі дільниці № 141805 – 141811), частина Куйбишевського (виборчі дільниці № 141827 –141832, 141834, 141835, 141843 – 141871, 141873, 141874) районів міста Донецька",42.5,NA,"blue"
"Донецька область",44,"Кіровський, Петровський райони в місті Донецьку",44,"Петровський район, частина Кіровського району міста Донецька (виборчі дільниці № 141763 – 141804, 141812 – 141826)",42.5,NA,"blue"
"Донецька область",45,"Ясинуватський район, Київський район у місті Донецьку, міста Авдіївка, Ясинувата",45,"міста Авдіївка, Ясинувата, Київський район міста Донецька, Ясинуватський район",42.5,NA,"blue"
"Донецька область",46,"міста Артемівськ, Красний Лиман, Артемівський, Краснолиманський райони",46,"міста Артемівськ, Красний Лиман, Артемівський район",42.5,NA,"blue"
"Донецька область",47,"Слов'янський, Олександрівський райони, місто Слов'янськ",47,"місто Слов’янськ, Олександрівський, Слов’янський райони",42.5,NA,"blue"
"Донецька область",48,"місто Краматорськ",48,"місто Краматорськ",42.5,NA,"blue"
"Донецька область",50,"Костянтинівський, Красноармійський райони, міста Костянтинівка, Красноармійськ",49,"міста Дружківка, Костянтинівка, Костянтинівський, Красноармійський райони",42.5,NA,"blue"
"Донецька область",49,"Добропільський район, міста Димитров, Добропілля, Дружківка",50,"міста Димитров, Добропілля, Красноармійськ, Добропільський район",42.5,NA,"blue"
"Донецька область",51,"Микитівський, Центрально-Міський райони в місті Горлівці",51,"Микитівський, Центрально-Міський райони міста Горлівки",42.5,NA,"blue"
"Донецька область",52,"Калінінський район у місті Горлівці, міста Дебальцеве, Дзержинськ",52,"міста Дебальцеве, Дзержинськ, Калінінський район міста Горлівки",42.5,NA,"blue"
"Донецька область",53,"міста Єнакієве, Жданівка, Кіровське",53,"міста Єнакієве, Торез",42.5,NA,"blue"
"Донецька область",55,"міста Харцизьк, Шахтарськ",54,"міста Харцизьк, Шахтарськ, Шахтарський район",42.5,NA,"blue"
"Донецька область",56,"Гірницький, Совєтський райони в місті Макіївці",55,"міста Жданівка, Кіровське, Гірницький, Совєтський райони міста Макіївки",42.5,NA,"blue"
"Донецька область",57,"Кіровський, Центрально-Міський, Червоногвардійський райони в місті Макіївці",56,"Кіровський, Червоногвардійський, Центрально-Міський райони міста Макіївки",42.5,NA,"blue"
"Донецька область",58,"Іллічівський, Орджонікідзевський райони в місті Маріуполі",57,"Іллічівський, Орджонікідзевський райони міста Маріуполя",42.5,NA,"blue"
"Донецька область",59,"Жовтневий, Приморський райони в місті Маріуполі",58,"Жовтневий, Приморський райони міста Маріуполя",42.5,NA,"blue"
"Донецька область",60,"Великоновосілківський, Мар'їнський райони, міста Новогродівка, Селидове",59,"міста Вугледар, Новогродівка, Селидове, Великоновосілківський, Мар'їнський райони",42.5,NA,"blue"
"Донецька область",61,"Волноваський, Володарський, Першотравневий райони, міста Вугледар, Докучаєвськ",60,"Волноваський, Володарський, Новоазовський, Першотравневий, Тельманівський райони",42.5,NA,"blue"
"Донецька область",61,"Волноваський, Володарський, Першотравневий райони, міста Вугледар, Докучаєвськ",61,"міста Докучаєвськ, Сніжне, Амвросіївський, Старобешівський райони",42.5,NA,"blue"
"Житомирська область",63,"Богунський, Корольовський райони в місті Житомирі",62,"частина Богунського району (виборчі дільниці № 181338 –181372, 181382 – 181386, 181388, 181389, 181399 – 181403), Корольовський район міста Житомира",40.3,-5.2,"grey"
"Житомирська область",64,"Бердичівський, Любарський, Романівський, Чуднівський райони, місто Бердичів",63,"місто Бердичів, Андрушівський, Бердичівський, Попільнянський, Ружинський райони",40.3,-5.2,"grey"
"Житомирська область",65,"Коростенський, Лугинський, Овруцький, Олевський райони, місто Коростень",64,"місто Коростень, Коростенський, Лугинський, Овруцький, Олевський райони",40.3,-5.2,"grey"
"Житомирська область",66,"Баранівський, Ємільчинський, Новоград-Волинський, Червоноармійський райони, місто Новоград-Волинський",65,"місто Новоград-Волинський, Баранівський, Ємільчинський, Новоград-Волинський, Червоноармійський райони",40.3,-5.2,"grey"
"Житомирська область",67,"Володарсько-Волинський, Коростишівський, Малинський, Народицький, Радомишльський, Черняхівський райони, місто Малин",66,"місто Малин, Брусилівський, Володарсько-Волинський, Коростишівський, Малинський, Народицький, Радомишльський, Черняхівський райони",40.3,-5.2,"grey"
"Житомирська область",63,"Богунський, Корольовський райони в місті Житомирі",67,"частина Богунського району міста Житомира (виборчі дільниці № 181373 – 181381, 181387, 181390 – 181398), Житомирський, Любарський, Романівський, Чуднівський райони",40.3,-5.2,"grey"
"Закарпатська область",69,"Ужгородський район, міста Ужгород, Чоп",68,"міста Ужгород, Чоп, Ужгородський район",36.7,2.1,"grey"
"Закарпатська область",70,"Мукачівський район, місто Мукачеве",69,"місто Мукачеве, частина Берегівського (виборчі дільниці № 210003 – 210005, 210012, 210013, 210015, 210017, 210019, 210021, 210029 – 210032, 210035), частина Іршавського (виборчі дільниці № 210172 –210180, 210203 – 210212, 210223 – 210228), частина Мукачівського (виборчі дільниці № 210303 – 210330, 210332 – 210339, 210343 – 210345, 210347 – 210365) районів",36.7,2.1,"grey"
"Закарпатська область",71,"Великоберезнянський, Воловецький, Міжгірський, Перечинський, Свалявський райони",70,"Великоберезнянський, Воловецький, Міжгірський, Перечинський, Свалявський райони, частина Мукачівського району (виборчі дільниці № 210278 – 210302, 210331, 210340 – 210342, 210346)",36.7,2.1,"grey"
"Закарпатська область",72,"Іршавський, Хустський райони, місто Хуст",71,"місто Хуст, Хустський район, частина Іршавського (виборчі дільниці № 210168 –210171, 210181 – 210183, 210185 – 210190, 210192 – 210195, 210198 – 210202), частина Тячівського (виборчі дільниці № 210479 –210481, 210504, 210516, 210522 – 210524, 210529, 210534, 210535, 210537, 210538) районів",36.7,2.1,"grey"
"Закарпатська область",73,"Рахівський, Тячівський райони",72,"Рахівський район, частина Тячівського району (виборчі дільниці № 210474 – 210478, 210482 – 210503, 210505 – 210515, 210517 – 210521, 210525 – 210528, 210530 – 210533, 210536, 210539 – 210547)",36.7,2.1,"grey"
"Закарпатська область",74,"Берегівський, Виноградівський райони, місто Берегове",73,"місто Берегове, Виноградівський район, частина Берегівського (виборчі дільниці № 210001, 210002, 210006 – 210011, 210014, 210016, 210018, 210020, 210022 – 210028, 210033, 210034, 210036), частина Іршавського (виборчі дільниці № 210184, 210191, 210196, 210197, 210213 – 210222) районів",36.7,2.1,"grey"
"Запорізька область",75,"Жовтневий, Комунарський райони в місті Запоріжжі",74,"Комунарський район, частина Жовтневого району міста Запоріжжя (виборчі дільниці № 230811, 230814, 230820 – 230832, 230834 – 230836)",41.6,-5.6,"grey"
"Запорізька область",76,"Заводський, Ленінський райони в місті Запоріжжі",75,"Заводський, Ленінський райони міста Запоріжжя",41.6,-5.6,"grey"
"Запорізька область",77,"Орджонікідзевський, Хортицький райони в місті Запоріжжі",76,"Орджонікідзевський, Хортицький райони міста Запоріжжя",41.6,-5.6,"grey"
"Запорізька область",78,"Шевченківський район у місті Запоріжжі",77,"Шевченківський район, частина Жовтневого району міста Запоріжжя (виборчі дільниці № 230809, 230810, 230812, 230813, 230815 –230819)",41.6,-5.6,"grey"
"Запорізька область",79,"Бердянський, Куйбишевський, Розівський, Чернігівський райони, місто Бердянськ",78,"місто Бердянськ з населеними пунктами Бердянської міської ради, Бердянський, Куйбишевський, Розівський, Чернігівський райони",41.6,-5.6,"grey"
"Запорізька область",80,"Василівський, Великобілозерський, Кам'янсько-Дніпровський, Оріхівський райони, місто Енергодар",79,"місто Енергодар, Василівський, Великобілозерський, Кам’янсько-Дніпровський райони, частина Оріхівського району (виборчі дільниці № 230376 – 230386, 230388 – 230392, 230394 – 230399, 230401 –230406, 230408 – 230414)",41.6,-5.6,"grey"
"Запорізька область",81,"Мелітопольський район, місто Мелітополь",80,"місто Мелітополь, Мелітопольський район",41.6,-5.6,"grey"
"Запорізька область",82,"Веселівський, Михайлівський, Приазовський, Приморський, Токмацький, Якимівський райони, місто Токмак",81,"місто Токмак, Веселівський, Михайлівський, Приазовський, Приморський, Токмацький, Якимівський райони",41.6,-5.6,"grey"
